date;country;gdp
2014-Q3;France;527938
2014-Q3;Italy;404527.2
2014-Q3;Poland;101360.1
2014-Q2;Belgium;100995
2014-Q2;Germany;717360
2014-Q2;Spain;260733
2014-Q2;France;536301.2
2014-Q2;Italy;405713.2
2014-Q2;Poland;99925.12
2014-Q1;Belgium;97159
2014-Q1;Germany;716700
2014-Q1;Spain;248197
2014-Q1;France;531820.3
2014-Q1;Italy;386521.7
2014-Q1;Poland;94791.24
2013-Q4;Belgium;103712
2013-Q4;Germany;721390
2013-Q4;Spain;263075
2013-Q4;France;544581.2
2013-Q4;Italy;427832
2013-Q4;Poland;110612.86
2013-Q3;Belgium;95256
2013-Q3;Germany;714670
2013-Q3;Spain;251199
2013-Q3;France;519745.9
2013-Q3;Italy;402044.9
2013-Q3;Poland;95370.2
2013-Q2;Belgium;99134
2013-Q2;Germany;692930
2013-Q2;Spain;259228
2013-Q2;France;530734
2013-Q2;Italy;402836.1
2013-Q2;Poland;95258.92
2013-Q1;Belgium;94778
2013-Q1;Germany;682360
2013-Q1;Spain;246846
2013-Q1;France;522128.5
2013-Q1;Italy;380037.2
2013-Q1;Poland;91139.37
2012-Q4;Belgium;101406
2012-Q4;Germany;701750
2012-Q4;Spain;262919
2012-Q4;France;535661.1
2012-Q4;Italy;427720.9
2012-Q4;Poland;108788.76
2012-Q3;Belgium;93638
2012-Q3;Germany;692940
2012-Q3;Spain;253340
2012-Q3;France;511488.4
2012-Q3;Italy;401385.7
2012-Q3;Poland;96900.35
2012-Q2;Belgium;97361
2012-Q2;Germany;672110
2012-Q2;Spain;262527
2012-Q2;France;522588.3
2012-Q2;Italy;406628.3
2012-Q2;Poland;93304.38
2012-Q1;Belgium;93770
2012-Q1;Germany;678510
2012-Q1;Spain;252313
2012-Q1;France;519066.3
2012-Q1;Italy;388623.8
2012-Q1;Poland;89253.94
2011-Q4;Belgium;99300
2011-Q4;Germany;691840
2011-Q4;Spain;273070
2011-Q4;France;528926.2
2011-Q4;Italy;434119.3
2011-Q4;Poland;99795.96
2011-Q3;Belgium;91288
2011-Q3;Germany;682290
2011-Q3;Spain;259493
2011-Q3;France;504107.3
2011-Q3;Italy;408173.7
2011-Q3;Poland;93228.98
2011-Q2;Belgium;94533
2011-Q2;Germany;660420
2011-Q2;Spain;272481
2011-Q2;France;516112.2
