country,year,month,cci
Spain,2021,11,99.86336
Spain,2021,12,99.51508
Belgium,2017,01,100.6824
Belgium,2017,02,100.7926
Belgium,2017,03,100.8977
Belgium,2017,04,100.9596
Belgium,2017,05,100.9797
Belgium,2017,06,101.0367
Belgium,2017,07,101.207
Belgium,2017,08,101.3278
Belgium,2017,09,101.485
Belgium,2017,10,101.5933
Belgium,2017,11,101.5779
Belgium,2017,12,101.5052
Belgium,2018,01,101.459
Belgium,2018,02,101.3935
Belgium,2018,03,101.3395
Belgium,2018,04,101.1703
Belgium,2018,05,100.9154
Belgium,2018,06,100.6303
Belgium,2018,07,100.5522
Belgium,2018,08,100.5473
Belgium,2018,09,100.6278
Belgium,2018,10,100.6177
Belgium,2018,11,100.3716
Belgium,2018,12,100.0238
Belgium,2019,01,99.87592
Belgium,2019,02,99.94678
Belgium,2019,03,100.1607
Belgium,2019,04,100.2962
Belgium,2019,05,100.2708
Belgium,2019,06,100.0848
Belgium,2019,07,99.88676
Belgium,2019,08,99.66145
Belgium,2019,09,99.50716
Belgium,2019,10,99.56223
Belgium,2019,11,99.68095
Belgium,2019,12,99.79705
Belgium,2020,01,99.88471
Belgium,2020,02,99.78267
Belgium,2020,03,99.30589
Belgium,2020,04,98.82602
Belgium,2020,05,98.95078
Belgium,2020,06,99.22989
Belgium,2020,07,99.28605
Belgium,2020,08,99.29327
Belgium,2020,09,99.5619
Belgium,2020,10,99.8737
Belgium,2020,11,100.2496
Belgium,2020,12,100.678
Belgium,2021,01,100.9178
Belgium,2021,02,101.0871
Belgium,2021,03,101.3234
Belgium,2021,04,101.5946
Belgium,2021,05,101.9607
Belgium,2021,06,102.2033
Belgium,2021,07,102.1172
Belgium,2021,08,101.7658
Belgium,2021,09,101.3884
Belgium,2021,10,100.8939
Belgium,2021,11,100.4577
Belgium,2021,12,100.1195
Italy,2017,01,99.85366
Italy,2017,02,99.86246
Italy,2017,03,99.88992
Italy,2017,04,99.72445
Italy,2017,05,99.47779
Italy,2017,06,99.32513
Italy,2017,07,99.53905
Italy,2017,08,100.1105
Italy,2017,09,100.7209
Italy,2017,10,101.1013
Italy,2017,11,101.2727
Italy,2017,12,101.3251
Italy,2018,01,101.273
Italy,2018,02,101.2952
Italy,2018,03,101.3613
Italy,2018,04,101.3695
Italy,2018,05,101.2131
Italy,2018,06,101.2776
Italy,2018,07,101.3743
Italy,2018,08,101.4463
Italy,2018,09,101.5519
Italy,2018,10,101.5798
Italy,2018,11,101.4892
Italy,2018,12,101.335
Italy,2019,01,101.1721
Italy,2019,02,100.9976
Italy,2019,03,100.8597
Italy,2019,04,100.7402
Italy,2019,05,100.6126
Italy,2019,06,100.5082
Italy,2019,07,100.5111
Italy,2019,08,100.4105
Italy,2019,09,100.3625
Italy,2019,10,100.3791
Italy,2019,11,100.4293
Italy,2019,12,100.5821
Italy,2020,01,100.5045
Italy,2020,02,99.92011
Italy,2020,03,98.97895
Italy,2020,04,98.52312
Italy,2020,05,98.66161
Italy,2020,06,99.30588
Italy,2020,07,99.71242
Italy,2020,08,99.93871
Italy,2020,09,99.95824
Italy,2020,10,99.67339
Italy,2020,11,99.50745
Italy,2020,12,99.81211
Italy,2021,01,100.1826
Italy,2021,02,100.5622
Italy,2021,03,100.9779
Italy,2021,04,101.5864
Italy,2021,05,102.3648
Italy,2021,06,102.9537
Italy,2021,07,103.1288
Italy,2021,08,103.0093
Italy,2021,09,102.9093
Italy,2021,10,102.7933
Italy,2021,11,102.5083
Italy,2021,12,102.0598
Germany,2017,01,101.468
Germany,2017,02,101.4184
Germany,2017,03,101.5041
Germany,2017,04,101.6876
Germany,2017,05,101.8766
Germany,2017,06,102.0059
Germany,2017,07,102.0124
Germany,2017,08,101.9309
Germany,2017,09,101.8875
Germany,2017,10,101.9151
Germany,2017,11,101.9562
Germany,2017,12,102.0189
Germany,2018,01,102.0951
Germany,2018,02,102.0978
Germany,2018,03,102.0307
Germany,2018,04,101.9441
Germany,2018,05,101.8592
Germany,2018,06,101.7725
Germany,2018,07,101.6796
Germany,2018,08,101.6615
Germany,2018,09,101.6507
Germany,2018,10,101.6125
Germany,2018,11,101.5766
Germany,2018,12,101.5521
Germany,2019,01,101.5638
Germany,2019,02,101.5741
Germany,2019,03,101.574
Germany,2019,04,101.511
Germany,2019,05,101.371
Germany,2019,06,101.1806
Germany,2019,07,101.0236
Germany,2019,08,100.9245
Germany,2019,09,100.9242
Germany,2019,10,100.933
Germany,2019,11,101.038
Germany,2019,12,101.0443
Germany,2020,01,100.9426
Germany,2020,02,100.5351
Germany,2020,03,99.67995
Germany,2020,04,98.84225
Germany,2020,05,98.74178
Germany,2020,06,99.1649
Germany,2020,07,99.59703
Germany,2020,08,99.90456
Germany,2020,09,99.96408
Germany,2020,10,99.78462
Germany,2020,11,99.55039
Germany,2020,12,99.39102
Germany,2021,01,99.28835
Germany,2021,02,99.46095
Germany,2021,03,99.7914
Germany,2021,04,100.145
Germany,2021,05,100.7143
Germany,2021,06,101.2156
Germany,2021,07,101.3633
Germany,2021,08,101.3504
Germany,2021,09,101.3533
Germany,2021,10,101.1558
Germany,2021,11,100.8214
Germany,2021,12,100.5224
