country,year,month,bci
Belgium,2021,07,102.6817
Belgium,2021,08,102.5017
Belgium,2021,09,102.3464
Belgium,2021,10,102.4119
Belgium,2021,11,102.5755
Belgium,2021,12,102.5021
Spain,2017,01,102.0053
Spain,2017,02,102.1481
Spain,2017,03,102.0233
Spain,2017,04,101.9048
Spain,2017,05,101.9009
Spain,2017,06,101.9398
Spain,2017,07,101.8837
Spain,2017,08,101.9994
Spain,2017,09,102.2837
Spain,2017,10,102.5697
Spain,2017,11,102.839
Spain,2017,12,102.8699
Spain,2018,01,102.7421
Spain,2018,02,102.5623
Spain,2018,03,102.4157
Spain,2018,04,102.3015
Spain,2018,05,102.0369
Spain,2018,06,101.7251
Spain,2018,07,101.3783
Spain,2018,08,101.163
Spain,2018,09,101.2379
Spain,2018,10,101.4387
Spain,2018,11,101.5125
Spain,2018,12,101.3373
Spain,2019,01,101.1804
Spain,2019,02,101.1434
Spain,2019,03,101.2085
Spain,2019,04,101.1428
Spain,2019,05,101.141
Spain,2019,06,101.2275
Spain,2019,07,101.3466
Spain,2019,08,101.3644
Spain,2019,09,100.9944
Spain,2019,10,100.7744
Spain,2019,11,100.9997
Spain,2019,12,101.2118
Spain,2020,01,101.0359
Spain,2020,02,100.3226
Spain,2020,03,98.61547
Spain,2020,04,96.32913
Spain,2020,05,95.72649
Spain,2020,06,96.78947
Spain,2020,07,98.37469
Spain,2020,08,99.40702
Spain,2020,09,99.86056
Spain,2020,10,100.036
Spain,2020,11,100.1955
Spain,2020,12,100.3876
Spain,2021,01,100.6411
Spain,2021,02,100.8177
Spain,2021,03,101.199
Spain,2021,04,101.6017
Spain,2021,05,101.9039
Spain,2021,06,102.0621
Spain,2021,07,102.2963
Spain,2021,08,102.4446
Spain,2021,09,102.6142
Spain,2021,10,102.8338
Spain,2021,11,103.0171
Spain,2021,12,103.2736
Germany,2017,01,101.223
Germany,2017,02,101.3933
Germany,2017,03,101.6015
Germany,2017,04,101.808
Germany,2017,05,101.9685
Germany,2017,06,102.108
Germany,2017,07,102.2082
Germany,2017,08,102.2515
Germany,2017,09,102.3268
Germany,2017,10,102.4288
Germany,2017,11,102.5159
Germany,2017,12,102.5791
Germany,2018,01,102.5668
Germany,2018,02,102.4679
Germany,2018,03,102.3848
Germany,2018,04,102.3642
Germany,2018,05,102.3347
Germany,2018,06,102.2734
Germany,2018,07,102.1618
Germany,2018,08,102.0355
Germany,2018,09,101.9009
Germany,2018,10,101.7395
Germany,2018,11,101.5821
Germany,2018,12,101.3778
Germany,2019,01,101.1636
Germany,2019,02,100.928
Germany,2019,03,100.6669
Germany,2019,04,100.3999
Germany,2019,05,100.152
Germany,2019,06,99.83029
Germany,2019,07,99.53331
Germany,2019,08,99.32476
Germany,2019,09,99.12885
Germany,2019,10,99.07278
Germany,2019,11,99.13482
Germany,2019,12,99.27351
Germany,2020,01,99.37775
Germany,2020,02,99.12809
Germany,2020,03,98.41592
Germany,2020,04,97.61748
Germany,2020,05,97.57567
Germany,2020,06,98.09797
Germany,2020,07,98.82597
Germany,2020,08,99.47991
Germany,2020,09,99.94617
Germany,2020,10,100.2807
Germany,2020,11,100.4983
Germany,2020,12,100.7736
Germany,2021,01,101.1752
Germany,2021,02,101.7306
Germany,2021,03,102.3049
Germany,2021,04,102.7271
Germany,2021,05,103.031
Germany,2021,06,103.301
Germany,2021,07,103.5141
Germany,2021,08,103.6233
Germany,2021,09,103.6241
Germany,2021,10,103.5428
Germany,2021,11,103.5206
Germany,2021,12,103.579
